Reward,Throughput,Latancy,PRBs,Each_time,Totel_time
-2.4569207,351.60607999999996,597.29815,27.938000000000002,0.03863406181335449,48.063852071762085
-2.4577193,351.48512,597.2570499999999,27.925000000000004,0.038837432861328125,48.111204862594604
-2.379835499999999,362.97375999999997,600.9573099999999,28.957,0.038953542709350586,48.158475399017334
-2.3801359,362.97296,600.98655,28.955,0.03934669494628906,48.20734882354736
-2.515943900000001,354.28512,605.8795100000001,27.947,0.03880643844604492,48.25434446334839
-2.5181650000000007,354.28792,606.10442,27.955,0.042078256607055664,48.30472540855408
-2.5933371,355.15312,614.4868299999999,28.165999999999997,0.038836002349853516,48.35156178474426
-2.590006099999999,355.27224,614.27285,28.177999999999997,0.03866720199584961,48.39848732948303
-2.6517948999999996,355.18288,620.3623699999999,28.311,0.03899359703063965,48.44611477851868
-2.6515593,355.18399999999997,620.33993,28.308999999999997,0.0385282039642334,48.493001222610474
-2.676893,358.55920000000003,626.2485,28.57,0.03948497772216797,48.54098320007324
-2.6773221,358.55696,626.28917,28.571,0.03851199150085449,48.58807015419006
-2.5979861,366.5224,626.32101,29.323,0.038825273513793945,48.63536500930786
-2.597957200000001,366.52392,626.31964,29.320999999999998,0.03900909423828125,48.68403744697571
-2.6006552999999997,366.28368,626.34921,29.306,0.03965163230895996,48.73200559616089
-2.6868276000000004,359.15416,627.83692,28.633,0.03860020637512207,48.77865767478943
-2.6868276000000004,359.15416,627.83692,28.633,0.03827381134033203,48.8253116607666
-2.6394282999999987,365.42,629.3628299999999,29.256999999999998,0.03930091857910156,48.87269735336304
-2.6394282999999987,365.42,629.3628299999999,29.256999999999998,0.0388946533203125,48.919864654541016
-2.8125918999999997,351.24144,632.50063,27.863,0.03854656219482422,48.96692156791687
-2.8114694999999994,351.36216,632.50911,27.872,0.0400235652923584,49.01495599746704
-2.8621123000000006,355.77192,641.98315,28.375,0.03938436508178711,49.06283140182495
-2.862051800000001,355.77256,641.97774,28.377000000000002,0.039163827896118164,49.110979080200195
-2.9146070000000015,356.85272,648.3134200000001,28.467,0.03921389579772949,49.16020750999451
-2.9146004000000008,356.85168,648.31172,28.465000000000003,0.038843393325805664,49.20774865150452
-2.9481436999999993,357.85064,652.6650099999999,28.623000000000005,0.038778066635131836,49.255460262298584
-2.949260399999999,357.73032,652.65636,28.61,0.0395050048828125,49.30358028411865
-3.0085667000000007,357.98408,658.8407500000001,28.509,0.040586233139038086,49.353081941604614
-3.0086990000000005,357.98447999999996,658.85438,28.509,0.03933358192443848,49.40113186836243
-3.0132766000000006,360.2656,661.5932600000001,28.793,0.039674997329711914,49.44894313812256
-3.0152385000000006,360.2664,661.79025,28.793,0.03809618949890137,49.49502611160278
-3.1433670999999985,352.0676,666.4043099999999,28.009999999999998,0.03974628448486328,49.54315710067749
-3.1401897,352.18672000000004,666.20569,28.022,0.03923392295837402,49.590516090393066
-3.2865710999999997,349.11104,677.76815,27.727,0.03865528106689453,49.63901162147522
-3.2862943000000002,349.11024000000003,677.73967,27.732999999999997,0.039891719818115234,49.688156843185425
-3.3481752000000005,345.42856,680.24608,27.276,0.03984642028808594,49.736297845840454
-3.3485158999999998,345.43016,680.28175,27.269,0.04009294509887695,49.78462862968445
-3.349349599999999,345.34856,680.28352,27.247999999999998,0.039563655853271484,49.83255743980408
-3.6522636000000004,332.15056,697.37692,25.947000000000003,0.03989672660827637,49.88061833381653
-3.6522636000000004,332.15056,697.37692,25.947000000000003,0.07828712463378906,49.96725940704346
-4.041683600000001,321.96720000000005,726.13556,24.796,0.03992581367492676,50.0157790184021
-4.2802705,325.73375999999996,753.76081,25.045,0.03870749473571777,50.06261110305786
-4.2681472,327.59744,754.41216,25.222,0.03884530067443848,50.110522508621216
-4.5184588,327.60376,779.44964,25.532000000000004,0.03916049003601074,50.158950090408325
-4.5140165,326.6676,778.06925,25.443,0.039372920989990234,50.20698046684265
-4.792686700000001,325.57016,804.83883,25.391000000000002,0.039858341217041016,50.25571417808533
-4.7904859,325.81080000000003,804.8593900000001,25.410000000000004,0.038722991943359375,50.30275321006775
-5.0084482,333.5864,834.43122,26.509999999999998,0.04431557655334473,50.35626459121704
-5.0107295999999995,333.34656,834.41952,26.494999999999997,0.03915810585021973,50.40428113937378
-5.189333099999999,334.69592,853.62923,26.704,0.03892064094543457,50.45172953605652
-5.1905704,334.69704,853.7540799999999,26.698999999999998,0.03928422927856445,50.499584436416626
-5.322849000000001,334.85808,867.1429800000001,26.624,0.039086103439331055,50.54653882980347
-5.320555800000001,334.97576000000004,867.0313400000001,26.637999999999998,0.03831601142883301,50.59344696998596
-5.492963600000001,332.47936,881.77572,26.387999999999998,0.03987574577331543,50.64347982406616
-5.535542700000001,328.78128,882.33555,26.035,0.03961324691772461,50.691585540771484
-5.5650785,331.1284,887.6362500000001,25.810000000000002,0.03928351402282715,50.74003338813782
-5.5188510000000015,336.77224,888.6573400000001,26.345,0.03917670249938965,50.787484884262085
-5.4406999,338.48024000000004,882.5502299999999,26.917,0.039147377014160156,50.835450172424316
-5.4283354,338.18024,881.01378,26.895000000000003,0.0383145809173584,50.882513761520386
-5.4448341,336.46168,880.94509,26.819000000000003,0.03903079032897949,50.92997407913208
-5.3347043,334.8172,868.2876299999999,26.656,0.040216684341430664,50.97888159751892
-5.3347043,334.8172,868.2876299999999,26.656,0.039244890213012695,51.02753305435181
-5.2579149,333.88912,859.68061,26.570999999999998,0.038965463638305664,51.07549476623535
-5.2579149,333.88912,859.68061,26.570999999999998,0.03895425796508789,51.12377166748047
-5.158651300000001,334.82064,850.68577,26.653000000000002,0.03926444053649902,51.17122435569763
-5.1568033,334.94079999999997,850.62113,26.660000000000004,0.04262709617614746,51.22193503379822
-5.1376617,333.92024000000004,847.68641,26.611,0.04041695594787598,51.27120614051819
-5.1376617,333.92024000000004,847.68641,26.611,0.04023098945617676,51.319116830825806
-5.148632599999999,334.69831999999997,849.5615799999999,26.642000000000003,0.03995490074157715,51.36837697029114
-5.1488824,334.69912,849.58736,26.639000000000003,0.03996109962463379,51.4163863658905
-5.208968200000001,331.41096000000005,852.3077800000001,25.903000000000002,0.03894305229187012,51.46357846260071
-5.207792899999999,331.53088,852.31017,25.916,0.039809226989746094,51.512134313583374
-5.271299899999999,328.99968,856.12967,25.669,0.04006028175354004,51.56090807914734
-5.271164200000001,329.00007999999997,856.1165000000001,25.669,0.03898262977600098,51.608967304229736
-5.4105976999999985,324.33432,865.3940899999999,25.336,0.038991451263427734,51.65591502189636
-5.411754500000001,324.2132,865.38865,25.327999999999996,0.03916049003601074,51.703824043273926
-5.4244834000000015,329.81616,872.2645000000001,25.735,0.038938045501708984,51.75084829330444
-5.4235056,329.93688,872.2874400000001,25.742,0.03953862190246582,51.79909133911133
-5.511888600000001,328.14160000000004,879.33046,25.590000000000003,0.03927445411682129,51.8467903137207
-5.515169800000001,328.02328,879.54026,25.58,0.03924107551574707,51.89503860473633
-5.612473900000001,325.15144,886.39883,25.31,0.04044175148010254,51.944053173065186
-5.6105115,325.14984,886.20099,25.309999999999995,0.03920865058898926,51.99099636077881
-5.6897488,327.36432,896.3392,25.564,0.041944265365600586,52.0409140586853
